60
https://www.ynetnews.com/article/b10ziw17q, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/b1bc4zfq5, Netanyahu,0, Bennett,29 
https://www.ynetnews.com/article/b1ghfjf79, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/bjbq74kx9, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/bjcdo5zxq, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/bjqtfgxq9, Netanyahu,0, Bennett,2 
https://www.ynetnews.com/article/bkcnzdeqc, Netanyahu,2, Bennett,25 
https://www.ynetnews.com/article/bkdqfmgx5, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/bkiutwzm5, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/bksz2owmq, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/byue6q7m9, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/byvdjkjx9, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/h1c5rdlxc, Netanyahu,0, Bennett,4 
https://www.ynetnews.com/article/h1pcbdrx5, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/h1pqpnrmq, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/h1vqp2mq5, Netanyahu,0, Bennett,23 
https://www.ynetnews.com/article/hjegonqmq, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/hjltcyxq9, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/hjydds17q, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/hjyj801175, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/hjyzxfkxc, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/hkh8k9bq9, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/hyiuwjpz5, Netanyahu,0, Bennett,4 
https://www.ynetnews.com/article/hyiwgj1qc, Netanyahu,0, Bennett,19 
https://www.ynetnews.com/article/hynwpv175, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/hyv6sgkgq, Netanyahu,0, Bennett,35 
https://www.ynetnews.com/article/hyygorpfc, Netanyahu,0, Bennett,35 
https://www.ynetnews.com/article/r100hx19m5, Netanyahu,10, Bennett,0 
https://www.ynetnews.com/article/r11hvdgm5, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/r15pwwxx9, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/r1tk9f9m5, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/r1vygalq5, Netanyahu,0, Bennett,6 
https://www.ynetnews.com/article/r1xlnqsm5, Netanyahu,0, Bennett,6 
https://www.ynetnews.com/article/rji4cupmq, Netanyahu,4, Bennett,14 
https://www.ynetnews.com/article/rjls06cmc, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/rjxh1plqc, Netanyahu,0, Bennett,2 
https://www.ynetnews.com/article/rkaxiv9mc, Netanyahu,0, Bennett,13 
https://www.ynetnews.com/article/rkc9uwcf9, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/rkg00ngjmq, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/rkjbgrg79, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/ryb11fy7q5, Netanyahu,8, Bennett,0 
https://www.ynetnews.com/article/ryl117rrf5, Netanyahu,2, Bennett,33 
https://www.ynetnews.com/article/ryzlekbqq, Netanyahu,0, Bennett,15 
https://www.ynetnews.com/article/s19b5zzqq, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/s1kkbfpz9, Netanyahu,0, Bennett,9 
https://www.ynetnews.com/article/s1tesgkxc, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/s1tlllrg5, Netanyahu,0, Bennett,2 
https://www.ynetnews.com/article/s1ujeubx5, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/s1vcrke7c, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/s1xdz56zc, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/sj5b00gxqq, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/sjkd8b0zc, Netanyahu,0, Bennett,8 
https://www.ynetnews.com/article/sjpov5eqq, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/sjzdkpzqc, Netanyahu,0, Bennett,8 
https://www.ynetnews.com/article/ske6xrozq, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/sku69yjmq, Netanyahu,0, Bennett,4 
https://www.ynetnews.com/article/sybeajl75, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/syf00umqqc, Netanyahu,0, Bennett,13 
https://www.ynetnews.com/article/syhmlx0f5, Netanyahu,0, Bennett,0 
https://www.ynetnews.com/article/sywxrtumc, Netanyahu,6, Bennett,0 
